interpolated_c1_times,interpolated_c1_x_coords,interpolated_c1_y_coords
12705,-61.47491076982557,15.365517497464571
12706,-61.474912056389755,15.365525130506288
12707,-61.47491332748436,15.365532785414084
12708,-61.474914583109374,15.36554046218795
12709,-61.474915823264794,15.365548160827888
12710,-61.47491704795061,15.365555881333897
12711,-61.47491825716686,15.365563623705983
12712,-61.474919450913504,15.365571387944135
12713,-61.474920629190564,15.365579174048364
12714,-61.474921791998035,15.365586982018664
12715,-61.47492293933592,15.365594811855038
12716,-61.47492407120422,15.365602663557487
12717,-61.474925187602906,15.365610537126
12718,-61.474926288532025,15.365618432560595
12719,-61.47492737399155,15.36562634986126
12720,-61.47492844398146,15.365634289027993
12721,-61.474929498501815,15.365642250060805
12722,-61.474930537552574,15.365650232959686
12723,-61.47493156113373,15.36565823772464
12724,-61.4749325692453,15.365666264355664
12725,-61.47493356188728,15.365674312852764
12726,-61.47493453905967,15.365682383215931
12727,-61.47493550076247,15.365690475445179
12728,-61.47493644699567,15.365698589540495
12729,-61.474937377759304,15.365706725501884
12730,-61.474938293053334,15.365714883329348
12731,-61.47493919287777,15.36572306302288
12732,-61.474940077232624,15.365731264582488
12733,-61.47494094611788,15.365739488008167
12734,-61.47494179953356,15.365747733299917
12735,-61.47494263747964,15.365756000457742
12736,-61.47494345995612,15.365764289481639
12737,-61.474944266963035,15.365772600371608
12738,-61.47494505850034,15.365780933127649
12739,-61.47494583456806,15.365789287749765
12740,-61.47494659516619,15.365797664237952
12741,-61.47494734029474,15.365806062592213
12742,-61.4749480699537,15.365814482812544
12743,-61.47494878414305,15.365822924898948
12744,-61.47494948286281,15.365831388851424
12745,-61.474950166113,15.365839874669973
12746,-61.4749508338936,15.365848382354601
12747,-61.474951486204596,15.365856911905293
12748,-61.474952123046,15.36586546332206
12749,-61.474952744417834,15.3658740366049
12750,-61.47495335032006,15.365882631753813
12751,-61.47495394075269,15.365891248768795
12752,-61.47495451571575,15.365899887649856
12753,-61.474955075209216,15.365908548396986
12754,-61.474955619233086,15.365917231010187
12755,-61.47495614778737,15.365925935489463
12756,-61.47495666087205,15.365934661834808
12757,-61.474957158487165,15.365943410046231
12758,-61.47495764063266,15.365952180123722
12759,-61.474958107308595,15.365960972067288
12760,-61.47495855851494,15.36596978587693
12761,-61.47495899425167,15.365978621552639
12762,-61.47495941451881,15.365987479094418
12763,-61.47495981931638,15.365996358502278
12764,-61.47496020864435,15.366005259776204
12765,-61.474960582502725,15.366014182916203
12766,-61.47496094089152,15.36602312792228
12767,-61.47496128381073,15.366032094794424
12768,-61.47496161126034,15.366041083532643
12769,-61.47496192324036,15.36605009413693
12770,-61.47496221975079,15.366059126607297
12771,-61.474962500791634,15.366068180943733
12772,-61.474962766362886,15.366077257146241
12773,-61.47496301646454,15.366086355214822
12774,-61.474963251096625,15.366095475149475
12775,-61.4749634702591,15.366104616950201
12776,-61.47496367395199,15.366113780616999
12777,-61.474963862175294,15.366122966149872
12778,-61.474964034929016,15.366132173548817
12779,-61.474964192213136,15.366141402813831
12780,-61.47496433402766,15.36615065394492
12781,-61.47496446037261,15.366159926942082
12782,-61.474964571247966,15.366169221805318
12783,-61.47496466665372,15.366178538534621
12784,-61.47496474658989,15.36618787713
12785,-61.47496481105649,15.366197237591454
12786,-61.474964860053475,15.366206619918977
12787,-61.47496489358087,15.366216024112573
12788,-61.47496491163868,15.366225450172244
12789,-61.4749649142269,15.366234898097982
12790,-61.47496490134554,15.366244367889799
12791,-61.474964872994576,15.366253859547683
12792,-61.47496482917404,15.366263373071645
12793,-61.47496476988389,15.366272908461678
12794,-61.47496469512417,15.36628246571778
12795,-61.47496460489485,15.366292044839959
12796,-61.47496449919595,15.366301645828209
12797,-61.47496437802745,15.36631126868253
12798,-61.47496424138936,15.366320913402923
12799,-61.474964089281684,15.366330579989393
12800,-61.474963921704415,15.366340268441931
12801,-61.47496373865756,15.366349978760542
12802,-61.474963540141104,15.366359710945229
12803,-61.47496332615506,15.366369464995984
12804,-61.47496309669945,15.366379240912815
12805,-61.47496285177424,15.366389038695718
12806,-61.47496259137942,15.366398858344692
12807,-61.47496231551503,15.366408699859742
12808,-61.47496202418104,15.36641856324086
12809,-61.474961717377454,15.366428448488051
12810,-61.4749613951043,15.366438355601318
12811,-61.47496105736154,15.366448284580656
12812,-61.47496070414918,15.366458235426066
